Code,Xsite,Xprofile,unicode,XLat,XLong,XYear,X14C,X14C_SD,Tau,C_bulk,Biomes,Order,Xlayer_top,Xlayer_bot,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
382,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,50,4.843313578,121,0.060658921,5,Vertisols,12,15,4.00097295,16.85363016,33.73390745,49.41246238,1.647273275,14.00542574,15.47128247,1.503162649,10.88942401,7.008730843,34.99524645,38.08839893,60.13468626,37.11807366,91.90452872,2.003087235,0,92.39303218,8.860431226,0.004603172,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
383,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,50,4.843313578,122,0.040686096,5,Alfisols,6,8,9.092522628,30.42421529,34.17991839,35.39586633,1.479180494,14.1177573,18.45674332,1.473062182,11.17889058,7.09315539,24.72553871,27.6478057,52.30764633,26.54892076,90.96397359,0.902127405,0,33.82112451,5.075538646,0.018287321,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
384,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,46,4.838576159,128,0.036249153,5,Alfisols,12,14,8.895433006,29.52056142,33.79666029,36.68277829,1.502227962,13.86691335,16.95125459,1.402633865,10.79782189,7.107735624,25.31018998,28.39804208,53.78248255,27.50979962,91.04071624,1.110613407,0,40.5926936,4.914627921,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
385,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,33,4.823179547,147,0.035341126,5,Vertisols,8,10,3.999693195,17.0461555,34.08390823,48.86993627,1.637706483,13.99828907,16.52186341,1.591076141,11.03486846,6.997246862,35.00149896,37.97212474,59.95752874,36.96276727,92.03010542,1.999026488,0,91.87606329,9.044010888,0,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
386,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,30,4.819626483,154,0.022166021,5,Alfisols,24,26,8.221001338,26.32979993,32.472017,41.19818306,1.581821842,13.07326957,11.75648716,1.151506762,9.47803412,7.1638047,27.318809,31.01122452,58.71465098,30.82747019,91.44825182,1.810319072,0,63.44242659,4.557772744,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
387,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,21,4.80896729,172,0.025011396,5,Alfisols,16,18,8.698343384,28.61690755,33.41340218,37.96969026,1.525275431,13.61606941,15.44576585,1.332205548,10.4167532,7.122315858,25.89484125,29.14827845,55.25731877,28.47067847,91.11745888,1.319099409,0,47.3642627,4.753717196,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
388,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,9,4.794755034,202,0.020259355,5,Alfisols,18,20,8.580089611,28.07471523,33.18344732,38.74183744,1.539103912,13.46556304,14.5424726,1.289948558,10.18811199,7.131063999,26.24563202,29.59842028,56.1422205,29.04720579,91.16350447,1.44419101,0,51.42720416,4.657170761,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
389,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,9,4.794755034,202,0.019101915,5,Alfisols,20,22,8.451676885,27.48200425,32.93321142,39.58478433,1.554149431,13.30471628,13.55985704,1.243656366,9.939197131,7.140810722,26.6268773,30.08906923,57.09855628,29.67444493,91.21930277,1.579480032,0,55.82629438,4.560081168,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
390,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,9,4.794755034,202,0.017971635,5,Alfisols,22,24,8.330987342,26.89712417,32.69431148,40.40856434,1.568495228,13.17182428,12.62418069,1.197289094,9.700794197,7.151715434,26.9874437,30.56317352,57.9649959,30.27231532,91.31267304,1.702756601,0,59.86979825,4.523553754,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
391,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,1,4.785280196,225,0.013419373,5,Alfisols,28,30,8.033139945,25.24781896,32.07724442,42.67493662,1.605417524,12.97917204,10.22504852,1.061696915,9.079442538,7.1915369,27.89393628,31.82916664,59.86360755,31.8096334,91.84603491,1.978301716,0,69.1750567,4.838449932,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
392,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,-8,4.774621003,255,0.017584127,5,Alfisols,14,16,8.803457849,29.09885628,33.6178065,37.28333721,1.512983448,13.74985285,16.24869317,1.369767317,10.61998984,7.114539734,25.58302724,28.74815239,54.47073945,27.95820975,91.07652947,1.207906874,0,43.75275918,4.839536249,0,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
393,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,-27,4.752118263,332,0.017804579,5,Vertisols,21,24,4.00443564,16.27099722,32.66347759,51.06552519,1.676861087,14.02473573,12.24053172,1.23320273,10.43417984,7.045974431,34.97832875,38.46471585,60.67573784,37.60000171,91.56475044,2.014074572,0,93.97694369,8.487129568,0.020985668,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
394,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,-43,4.733168587,417,0.015442303,5,Vertisols,18,21,4.003469419,16.47806349,33.05114732,50.47078919,1.665935588,14.01934752,13.42187333,1.33166638,10.60569985,7.031133092,34.98304943,38.31521951,60.48027433,37.42103589,91.65956136,2.011008692,0,93.4015035,8.502315236,0.016414335,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
395,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,-50,4.724878104,459,0.011858067,5,Vertisols,24,27,4.003953008,16.11575579,32.33977644,51.54446776,1.686924069,14.02204429,11.20357054,1.147876347,10.2611829,7.064428311,34.98068675,38.64871371,60.83677489,37.76927944,91.61210892,2.012543151,0,94.46552461,9.012058782,0.018702267,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
396,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,-54,4.720140685,485,0.014295324,5,Vertisols,15,18,4.002107709,16.68291804,33.42356194,49.89352002,1.655756145,14.01175382,14.53973286,1.425209799,10.76045848,7.018913684,34.98970235,38.19149919,60.29177175,37.25578377,91.79317992,2.006687897,0,92.85142823,8.69765123,0.009971883,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
397,"Akko:32.9,35.25","Akko:32.9,35.25_465","Akko:32.9,35.25_Akko:32.9,35.25_465",32.9,35.25,1985,-54,4.720140685,485,0.00970642,5,Vertisols,30,33,3.998497549,15.9681161,31.89508312,52.13680078,1.704243133,13.99162145,9.591134354,1.019097769,9.912842467,7.112308781,35.00734054,39.12140384,61.04992594,38.07557947,92.14742884,1.995232625,0,95.16680533,11.73134793,0,19.18333435,9.399999619,39.49580002,580.2011108,31,7.199999809,23.79999924,11.91666698,25.66666603,25.96666718,11.91666698,617,164,0,111.2228699,406,0,2,406,193.6949921,27.82350226,318.8195215,162.7411738,3.56E-09,1.10E-08,0.542965219,-5.40E-05,6.70E-05,208.6273956,28.14728203,3.363311017,6.890969859,4.956999779
398,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,-71,4.700006654,607,0.008037446,5,Alfisols,8,10,9.039965396,30.18324092,34.07771623,35.73904285,1.485326486,14.05086558,18.05527966,1.454281298,11.07727226,7.097043453,24.88144571,27.84786873,52.70093599,26.80515512,90.9844383,0.957723672,0,35.62687627,5.032629119,0.007899257,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
399,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,-81,4.688163107,684,0.005496176,5,Alfisols,48,52,7.982964885,20.97785132,30.99498718,48.0271615,1.670228199,14.01370444,6.115228344,0.667841082,7.991930662,7.400002678,29.01604,34.98844919,59.98633012,34.98656392,96.0078295,2.001125277,0,83.56830833,10.00311933,1.010079399,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
400,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,-85,4.683425688,716,0.006587791,5,Alfisols,36,40,7.767883021,23.07157884,31.43324477,45.49517639,1.643517333,13.27249698,7.779225472,0.868228244,8.412691837,7.271357182,28.75847302,33.2863359,60.73105398,33.39122661,93.36186365,2.125134464,0,75.14768022,6.510535285,0.365688881,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
401,"Qedma:31.68,34.78","Qedma:31.68,34.78_464","Qedma:31.68,34.78_Qedma:31.68,34.78_464",31.68,34.78,1986,-100,4.665660367,843,0.00337346,5,Alfisols,30,32,7.955264555,24.73316222,31.90476633,43.36207145,1.615686591,12.98362922,9.561303428,1.017669401,8.903611033,7.207179832,28.13769825,32.19905776,60.26290903,32.23664174,92.10823921,2.038721891,0,71.33505846,5.084908131,0.0205556,19.57500076,11.25,46.10655975,526.1459351,31.79999924,7.400000095,24.39999962,12.9333334,25.35000038,25.73333359,12.9333334,427,105,0,111.6171417,276,0,1,276,135.558479,1.115706849,20.18116985,6.269420703,2.821214676,1.583029389,0.382775191,-2.20E-05,9.80E-05,193.3061523,0.766970098,1.761969879,8.690958993,4.539999962
