Code,Site,Latitude,Longititude,TNPP_Original,ANPP_Original,BNPP_Original,Unit,TNPP_unit_unified,ANPP_unit_unified,BNPP_unit_unified,Source,fBNPP,Biome type,Soil order,BIO1,BIO2,BIO3,BIO4,BIO5,BIO6,BIO7,BIO8,BIO9,BIO10,BIO11,BIO12,BIO13,BIO14,BIO15,BIO16,BIO17,BIO18,BIO19,CFRAG,SDTO,STPC,CLPC,BULK,TAWC,ORGC,TOTN,CNrt,PHAQ,CECS,ECEC,CECc,TEB,BSAT,ESP,ALSA,TCEQ,GYPS,ELCO,Aspect,fm,fr1000,fr300,mrRTF,mrVBF,PI,planC,profileC,SD,SP,TPI,TWI,MNPP
662,Canada,55.89,-98.67,368,303,65,g/m2/yr,0.368,0.303,0.065,ORNL: Multi-Biome_EMDI_ClassA,17.6630435,6,Gelisols,-3.045833349,11.64166641,22.25940132,1496.092529,22.29999924,-30,52.29999924,14.4333334,-19.86666679,14.4333334,-22.46666718,508,84,17,53.14832687,223,59,223,63,16,40,40,20,0.66,32,289.18,12.55,18,5.6,67,46,52,42,63,1,2,0,1,1,77.21091293,2.894174563,20.6472243,9.508567366,2.877767086,5.72717905,0.882369842,0.0001,0.000073,121.8606491,2.776547538,0.879509592,7.869984215,4.460999966
663,Canada,55.93,-98.62,205,106,99,g/m2/yr,0.205,0.106,0.099,ORNL: Multi-Biome_EMDI_ClassA,48.2926829,6,Gelisols,-3.158333302,11.58333302,22.19029427,1496.008057,22.20000076,-30,52.20000076,14.38333321,-19.95000076,14.38333321,-22.54999924,511,84,17,52.67223358,222,59,222,63,16,40,40,20,0.66,32,289.18,12.55,18,5.6,67,46,52,42,63,1,2,0,1,1,127.808536,0.718464059,13.02788261,3.868542878,4.970329762,5.227561474,0.888687185,0.000034,-0.000024,123.0610123,0.805990027,-0.346579552,10.26116458,4.454999924
664,Siberia,58,83,460,409,51,g/m2/yr,0.46,0.409,0.051,ORNL: Multi-Biome_EMDI_ClassA,11.0869565,9,Entisols,-0.524999976,10.01666641,20.99930191,1366.535889,24.29999924,-23.39999962,47.69999695,16.23333359,-15.10000038,16.23333359,-17.71666718,510,71,18,42.20128632,199,63,199,77,5,43,42,15,0.95,22,104.19,7.9,13,5.1,34,16,34,10,44,1,5,0,0,1,270,1.78E-15,2,7.11E-15,4.76443243,5.54382515,0.810647651,0,0,113.2147064,7.95E-16,7.11E-15,12.86423038,3.397000074
665,Sweden,60.82,16.5,344,137,207,g/m2/yr,0.344,0.137,0.207,ORNL: Multi-Biome_EMDI_ClassA,60.1744186,6,Spodosols,4.295833588,9.008333206,29.53551865,772.588501,21.20000076,-9.300000191,30.5,12.90000057,-1.300000072,14.28333378,-4.816666603,664,80,30,29.33839607,229,110,220,124,15,53,36,11,1.01,24,124.54,4.66,18,5,34,14,63,17,41,2,22,0,3,0,196.3861114,0.776657335,23.10831825,2.638868475,5.648299694,4.795545101,1.14265771,-0.000033,0.000114,104.7630157,0.694663784,0.326261168,10.06672302,5.866000175
666,Russia,62,34,288,247,41,g/m2/yr,0.288,0.247,0.041,ORNL: Multi-Biome_EMDI_ClassA,14.2361111,6,Spodosols,2.487499952,7.391666889,21.30163193,961.8356934,20.70000076,-14,34.70000076,12.9333334,-4.083333492,14.55000019,-9.399999619,605,81,26,33.35272217,218,97,214,106,36,71,22,7,0.97,25,91.43,3.78,20,4.9,28,12,72,7,31,2,29,0,0,0,74.22608726,4.079653758,42.64941905,10.52929917,0.03776985,4.756720066,1.065456686,0.000141,-0.000383,94.77875519,1.953458898,-2.565327535,8.969877488,4.603000164
667,Finland,62.85,30.88,234,141,93,g/m2/yr,0.234,0.141,0.093,ORNL: Multi-Biome_EMDI_ClassA,39.7435897,6,Histosols,2.025000095,8.100000381,22.88135529,965.0306396,21.20000076,-14.19999981,35.40000153,14.3166666,-4.616666794,14.3166666,-9.716666222,657,84,33,32.42372513,230,103,230,129,14,51,41,8,1.06,24,88.45,4.27,18,4.7,27,11,70,10,30,1,32,0,3,0,159.9523117,0.301944193,7.896030735,1.010864724,5.366099358,4.70970583,1.165680424,-0.00001,0.000043,96.69367981,0.301944193,0.236479222,9.795969446,4.546000004
668,USA,64.75,-148.25,499,371,128,g/m2/yr,0.499,0.371,0.128,ORNL: Multi-Biome_EMDI_ClassA,25.6513026,6,Inceptisols,-2.924999952,11.46666622,23.30623436,1444.166138,22.39999962,-26.79999924,49.19999695,14.5,-10.46666622,14.5,-20.33333397,294,50,6,57.55009079,138,28,138,47,11,31,48,21,0.87,26,142.79,6.82,17,5.5,43,28,40,24,51,1,20,0,6,1,231.3135764,9.451643961,75.76332683,31.58680056,0.059102405,0.094025217,0.572161801,0.000098,-0.000093,100.4529037,9.776228878,0.240120076,7.241400537,3.967000008
669,-,72,105,99,41,58,g/m2/yr,0.099,0.041,0.058,ORNL: NPP_BAZ_575,58.5858586,7,Gelisols,-13.60416698,8.058333397,15.1472435,1686.066528,14.80000019,-38.40000153,53.20000076,6.716666698,-32.48333359,8.066666603,-32.48333359,246,40,9,47.70148087,105,32,103,32,17,30,57,13,0.84,24,158.46,6.91,23,5.7,50,28,64,26,73,2,4,0,17,1,124.9891513,0.859615633,7.682152641,1.847433378,0.03734133,3.609764099,0.70176199,-0.000118,0.000008,63.2052536,0.768120969,-0.142159274,13.11178536,1.610999942
671,-,68,68,67,38,29,g/m2/yr,0.067,0.038,0.029,ORNL: NPP_BAZ_575,43.2835821,7,Gelisols,-6.612500191,7.341666698,17.69076347,1193.621582,16.10000038,-25.39999962,41.5,8.566666603,-16.16666603,8.666666985,-19.83333397,370,56,17,38.51638412,142,56,137,65,4,30,55,15,0.8,23,132.59,8.38,19,5.3,50,23,49,22,90,2,11,0,0,1,296.5650512,4.01E-16,1,8.88E-16,2.95591259,5.792795658,0.877517578,0,0.000001,76.41902924,2.22E-16,-4.44E-16,11.77980157,1.773000002
672,-,68,68,120,77,43,g/m2/yr,0.12,0.077,0.043,ORNL: NPP_BAZ_575,35.8333333,7,Gelisols,-6.612500191,7.341666698,17.69076347,1193.621582,16.10000038,-25.39999962,41.5,8.566666603,-16.16666603,8.666666985,-19.83333397,370,56,17,38.51638412,142,56,137,65,4,30,55,15,0.8,23,132.59,8.38,19,5.3,50,23,49,22,90,2,11,0,0,1,296.5650512,4.01E-16,1,8.88E-16,2.95591259,5.792795658,0.877517578,0,0.000001,76.41902924,2.22E-16,-4.44E-16,11.77980157,1.773000002
