Code,  ID,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated,fr0-0.2,fr0.2-0.4,fr0.4-0.6,fr0.6-0.8,fr0.8-1,fr1-1.5,fr1.5-2
92,SC13,Davis & Pase,"Central Arizona, USA",33.58,-111.27,1006,Total,mass,10.42,2.8,no,medium,0,-999,N,N,Closed shrubland,8,1780,653,"non-tropical,",0.57,1.99,0.58,2.07,0.078416253,0.218941819,0.222246481,0.158318148,0.101217571,0.121022288,0.045916914
93,WC13a,Davis et al. 1983,"Tasmania, Australia",-41.38,146.38,-999,Total,length,-999,0.8,no,medium,2,evergreen,Y,N,ENL plantation / tem,1,1109,1100,winter maximum,0.29,0.73,0.44,1.39,0.117300357,0.32200802,0.249363283,0.133379757,0.068997288,0.067439676,0.021194714
94,WC13b,Davis et al. 1983,"Tasmania, Australia",-42.08,145.28,-999,Total,length,-999,0.8,no,coarse,5,evergreen,Y,N,ENL plantation / tem,1,1108,1300,winter maximum,0.13,0.68,0.2,1.3,0.5,0.248448058,0.100729818,0.049325472,0.027832437,0.033335802,0.014296922
95,WC13c,Davis et al. 1983,"Tasmania, Australia",-41.35,146.5,-999,Total,length,-999,0.8,no,medium,3,evergreen,Y,N,ENL plantation / tem,1,1109,1100,winter maximum,0.14,0.68,0.22,1.31,0.460757744,0.267662795,0.111249077,0.054166652,0.030221305,0.035552515,0.014876715
96,WC13d,Davis et al. 1983,"Tasmania, Australia",-41.35,146.5,-999,Total,length,-999,0.8,no,medium,2,evergreen,Y,N,ENL plantation / tem,1,1109,1100,winter maximum,0.04,0.61,0.07,1.18,0.749189096,0.1109927,0.043554055,0.023116162,0.014286599,0.019489887,0.009899904
97,WC13e,Davis et al. 1983,"Tasmania, Australia",-41.23,147.52,-999,Total,length,-999,0.8,no,medium,0,evergreen,Y,N,ENL plantation / tem,1,1168,1100,winter maximum,0.18,0.7,0.28,1.34,0.346878064,0.314800845,0.145740384,0.07065941,0.03829131,0.042796448,0.016649793
98,RG09a,de Castro and Kauffman 1998,"Goiás, Brazil",-16.1,-47.9,1100,Total,mass,1.58,2,no,fine,0,-999,N,N,Grassland,10,1404,1482,"tropical, seas",0.06,1.42,0.08,2.08,0.695948151,0.114740786,0.049987882,0.028356915,0.018389423,0.026526155,0.014339544
99,RG09b,de Castro and Kauffman 1998,"Goiás, Brazil",-16.1,-47.9,1100,Total,mass,3.05,2,no,coarse,0,evergreen,N,N,Savanna,7,1404,1482,"tropical, seas",0.09,0.79,0.1,0.89,0.717807519,0.148329239,0.051703065,0.02488117,0.01422914,0.017655863,0.008015744
100,RG09c,de Castro and Kauffman 1998,"Goiás, Brazil",-16.1,-47.9,1100,Total,mass,4.67,2,no,-999,0,evergreen,N,N,Savanna,7,1404,1482,"tropical, seas",0.1,0.51,0.1,0.52,0.77520348,0.147228601,0.038402286,0.015361167,0.007698273,0.008233542,0.003148085
101,RG09d,de Castro and Kauffman 1998,"Goiás, Brazil",-16.1,-47.9,1100,Total,mass,5.36,2,no,-999,0,evergreen,N,N,Savanna,7,1404,1482,"tropical, seas",0.16,0.92,0.16,1.02,0.587755554,0.223237673,0.080004984,0.037128199,0.020356673,0.023795983,0.00999316
102,TU01a,Dennis & Johnson 1970,"Alaska, USA",71.33,-156.65,< 5,Total,mass,2.31,0.55,no,medium,16,-999,N,N,Tundra,10,384,104,summer maximum,0.08,0.44,0.08,0.44,0.829574103,0.112000973,0.028541967,0.01148617,0.00580978,0.006298605,0.00245294
103,TU01b,Dennis & Johnson 1970,"Alaska, USA",71.33,-156.65,< 5,Total,mass,1.69,0.6,no,-999,7,-999,N,N,Tundra,10,384,104,summer maximum,0.07,0.42,0.07,0.42,0.848796346,0.09725443,0.025494151,0.010527307,0.005434703,0.006037382,0.002422149
104,TU01c,Dennis & Johnson 1970,"Alaska, USA",71.33,-156.65,< 5,Total,mass,1.66,0.4,no,-999,2,-999,N,N,Tundra,10,384,104,summer maximum,0.05,0.3,0.05,0.3,0.907048878,0.0611884,0.015193363,0.006177076,0.003167169,0.0035012,0.001399598
105,TU01d,Dennis & Johnson 1970,"Alaska, USA",71.33,-156.65,< 5,Total,mass,2.04,0.4,no,-999,20,-999,N,N,Tundra,10,384,104,summer maximum,0.08,0.34,0.08,0.34,0.865834577,0.097731865,0.020135209,0.007156258,0.003317191,0.00326412,0.001133138
106,TU01e,Dennis & Johnson 1970,"Alaska, USA",71.33,-156.65,< 5,Total,mass,2.08,0.6,no,medium,16,-999,N,N,Tundra,10,384,104,summer maximum,0.13,0.52,0.13,0.52,0.714015024,0.201829458,0.046770046,0.016739955,0.007691913,0.0074374,0.002514469
107,TU02,Dennis et al. 1978,"Alaska, USA",71.33,-156.65,< 5,Total,mass,0.46,0.25,no,medium,16,-999,N,N,Tundra,10,384,104,summer maximum,0.05,0.18,0.05,0.18,0.960327596,0.031345716,0.005031378,0.001591593,0.000682939,0.000618593,0.000194542
108,RG23,Devidas & Puyravaud 1995,S India,11.78,76.38,900,Total,mass,1.24,0.5,no,-999,0,-999,N,N,Grassland,10,1650,1098,"tropical, seas",0.1,0.41,0.12,0.7,0.70116633,0.180688591,0.05440417,0.023328643,0.012214887,0.013666978,0.005491879
