Code,  ID,Reference,location,Latitude,Longitude,Elevation,MaxDiameter,Measurement,Totmass,Sampdepth,Sampmax,Texture,Depth_org_horizon,Tree_phenology,Anthropogenic,Wetland,Vegetation,UMD_cover,PET,MAP,Rainfall_season,D50,D95,D50_extrapolated,D95_extrapolated,fr0-0.2,fr0.2-0.4,fr0.4-0.6,fr0.6-0.8,fr0.8-1,fr1-1.5,fr1.5-2
162,D27,Hansson et al. 1996,"Inner Mongolia, China",42.97,120.73,350,Total,mass,-999,0.95,no,coarse,0,-999,N,N,open shrubland,-999,793,360,summer maximum,0.23,0.8,0.28,1.38,0.349526449,0.30937785,0.144371625,0.070851034,0.038796985,0.043900754,0.017329144
163,WB02,Harris et al. 1977,"Tennessee, USA",36.02,-84.27,-999,Total,mass,1.64,0.6,no,medium,0,winter-deciduous,N,N,DBL forest / tempera,4,1063,1390,"non-tropical,",0.14,0.46,0.15,0.65,0.640531252,0.237028556,0.064229005,0.024686516,0.011844749,0.011958278,0.004242444
164,WC03,Harris et al. 1977,"North Carolina, USA",35.93,-79.32,-999,Total,mass,1.08,0.7,no,medium,0,evergreen,N,N,ENL forest / tempera,1,985,1160,"non-tropical,",0.12,0.41,0.13,0.47,0.728482612,0.200749956,0.041565789,0.013879005,0.006076056,0.005573869,0.001769361
165,RG38,Haworth 1953,Sri Lanka,6.07,80.67,-999,Total,mass,4.74,3.05,no,fine,0,-999,Y,N,Pasture,10,1528,1800,"non-tropical,",0.26,1.22,0.26,1.22,0.377608905,0.31673073,0.136663302,0.063791983,0.0338257,0.037087617,0.014175149
166,TS01a,Heitschmidt et al. 1988,"Texas, USA",34.15,-99.28,-999,Total,number,-999,2,no,fine,0,winter-deciduous,N,N,Wooded grassland,7,1450,650,summer maximum,0.48,1.65,0.53,2.25,0.120816708,0.239704058,0.202304634,0.135325835,0.086494501,0.108060717,0.044588856
167,TS01b,Heitschmidt et al. 1988,"Texas, USA",34.15,-99.28,-999,Total,number,-999,2,no,fine,0,winter-deciduous,N,N,Wooded grassland,7,1450,650,summer maximum,0.38,1.62,0.43,2.25,0.203925956,0.263949774,0.176117177,0.107125599,0.066695663,0.084483522,0.036755398
168,TC16a,Hendriks & Bianchi 1955,The Netherlands,52.25,5.68,-999,2,length,-999,0.94,no,coarse,4,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.1,0.58,0.11,0.81,0.707166917,0.163163934,0.053940525,0.024850806,0.013737082,0.016368666,0.007083569
169,TC16b,Hendriks & Bianchi 1955,The Netherlands,52.25,5.68,-999,2,length,-999,0.92,no,coarse,2,evergreen,Y,N,ENL plantation / tem,1,584,760,"non-tropical,",0.17,0.79,0.26,1.51,0.391947855,0.280884246,0.129299259,0.065614842,0.037305771,0.044416716,0.018695715
170,TD12a,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.91,no,medium,1,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.09,0.43,0.09,0.48,0.802901789,0.129471946,0.033300413,0.013345068,0.006713853,0.00722378,0.002784979
171,TD12b,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.93,no,medium,3,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.14,0.59,0.14,0.77,0.649318928,0.210434856,0.065333427,0.027956613,0.014531024,0.016061203,0.006343517
172,TD12c,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.94,no,medium,4,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.26,0.8,0.31,1.38,0.296472318,0.326597329,0.163117896,0.080195405,0.043265068,0.047608023,0.018047674
173,TD12d,Hendriks & Bianchi 1995,The Netherlands,52.27,5.68,-999,2,length,-999,0.95,no,medium,5,winter-deciduous,N,N,DBL forest / tempera,4,584,760,"non-tropical,",0.29,0.69,0.29,0.81,0.256331938,0.459086849,0.173934571,0.058927383,0.023755457,0.019046333,0.004988545
174,TD14a,Hertel 1999,"Göttinger Wald, Germany",51.52,10.05,420,2,mass,0.45,1,no,fine,0,winter-deciduous,N,N,DBL forest / tempera,4,637,712,"non-tropical,",0.17,0.77,0.2,1.26,0.5,0.251917732,0.100980028,0.048932917,0.027385327,0.032487715,0.013779493
175,TD14b,Hertel 1999,"Allstedt, Germany",51.38,11.43,280,2,mass,0.27,2.03,no,coarse,2.5,winter-deciduous,N,N,DBL forest / tempera,4,643,500,summer maximum,0.36,1.32,0.37,1.54,0.219220351,0.320936097,0.190540966,0.100222446,0.055320479,0.061114108,0.022877178
176,TD14c,Hertel 1999,"Solling, Germany",51.77,9.58,510,2,mass,0.34,1.26,yes,medium,5.7,winter-deciduous,N,N,DBL forest / tempera,4,637,1031,"non-tropical,",0.18,0.89,0.19,1.32,0.519469159,0.236522349,0.095549719,0.047238435,0.026938261,0.032739782,0.014306536
177,TD14d,Hertel 1999,"Lüneburger Heide, Germany",52.83,10.28,115,2,mass,0.49,3.57,yes,coarse,6.5,winter-deciduous,N,N,DBL forest / tempera,4,744,801,"non-tropical,",0.12,1.3,0.12,1.3,0.652778249,0.162978469,0.063873104,0.032861799,0.019658939,0.025611215,0.012258291
178,SC02,Higgins et al. 1987,"Cape Province, South Africa",-33.95,18.92,400,Total,mass,1.22,3.5,no,coarse,0,-999,N,N,Closed shrubland,8,1285,1700,winter maximum,0.07,0.32,0.07,0.32,0.88430763,0.082661925,0.017696962,0.006493616,0.003084846,0.003123184,0.001122807
179,RG33a,Hosegood 1963,Kenya,-1.18,36.63,~2200,Total,volume,-999,5.79,no,medium,0,evergreen,N,N,Savanna,7,1461,967,"tropical, seas",0.06,3.64,0.06,3.64,0.703391711,0.092470973,0.043222552,0.025951108,0.017617695,0.026933614,0.015594836
180,RG33b,Hosegood 1963,Kenya,-1.18,36.63,~2200,Total,volume,-999,4.88,no,medium,0,-999,N,N,Grassland,10,1461,967,"tropical, seas",0.22,3.02,0.22,3.02,0.473241225,0.188715021,0.093477241,0.054747361,0.035617488,0.050597076,0.026416571
181,SG31,Hulbert 1955,"W Idaho, USA",46.45,-117.02,350,Total,mass,0.1,1.6,no,medium,0,-999,N,N,Grassland,10,1069,355,winter maximum,0.2,1.29,0.27,2.29,0.398115588,0.234004568,0.118094102,0.066758281,0.041577228,0.055312233,0.026498369
182,RE03a,Huttel 1975,"Abidjan, Ivory Coast",5.4,-4.05,-999,Total,mass,0.22,2.5,no,coarse,0,evergreen,N,N,EBL forest / tropica,2,1265,2100,"tropical, seas",0.24,1.41,0.24,1.54,0.428299882,0.263624185,0.118285505,0.06047789,0.034865148,0.042429354,0.018397624
183,RE03b,Huttel 1975,"Abidjan, Ivory Coast",5.4,-4.05,-999,Total,mass,0.23,2.5,no,coarse,0,evergreen,N,N,EBL forest / tropica,2,1265,2100,"tropical, seas",0.11,0.67,0.11,0.69,0.722852055,0.165114787,0.050248093,0.021922009,0.011652547,0.013284662,0.005463534
184,RE03c,Huttel 1975,"Abidjan, Ivory Coast",5.8,-4.13,-999,Total,mass,0.22,1.3,no,fine,0,evergreen,N,N,EBL forest / tropica,2,1293,1800,"tropical, seas",0.12,0.57,0.12,0.64,0.710643957,0.181969682,0.051709882,0.021350627,0.010882016,0.011815513,0.004585173
185,TU04a,Ignatenko & Khakimzyanova 19,"Komi, Russia",66.67,62.58,143,Total,mass,0.4,0.34,no,medium,18,-999,N,N,Tundra,7,377,340,summer maximum,0.04,0.16,0.04,0.16,0.968273988,0.024265136,0.004293832,0.001445498,0.000649118,0.000618877,0.000207315
186,TU04b,Ignatenko & Khakimzyanova 19,"Komi, Russia",66.67,62.58,143,Total,mass,1.03,0.48,no,-999,12,-999,N,N,Tundra,7,377,340,summer maximum,0.03,0.22,0.03,0.22,0.942869,0.035839365,0.009483863,0.004057588,0.002164915,0.002509812,0.001062952
187,TU04c,Ignatenko & Khakimzyanova 19,"Komi, Russia",66.67,62.58,143,Total,mass,0.58,0.38,no,medium,18,-999,N,N,Tundra,7,377,340,summer maximum,0.03,0.16,0.03,0.16,0.965674148,0.023932434,0.005272692,0.002027189,0.00100216,0.001065345,0.000407193
188,TU04d,Ignatenko & Khakimzyanova 19,"Komi, Russia",66.67,62.58,143,Total,mass,0.81,0.38,no,-999,12,-999,N,N,Tundra,7,377,340,summer maximum,0.1,0.15,0.1,0.15,0.993526459,0.006431088,4.02E-05,1.96E-06,2.22E-07,5.18E-08,2.52E-09
189,BF02,Ignatenko et al. 1972,"Taimyr Peninsula, Russia",72.45,101.95,30-150,5,mass,0.38,0.7,no,medium,14,evergreen,N,N,ENL forest / boreal,1,337,243,summer maximum,0.07,0.36,0.07,0.44,0.843107481,0.09912195,0.02673866,0.01123056,0.00586776,0.006606825,0.002692612
190,TU07,Ignatenko et al. 1972,"Taimyr Peninsula, Russia",72.45,101.95,30-150,5,mass,0.43,0.65,no,medium,11.7,-999,N,N,Tundra,7,337,243,summer maximum,0.09,0.41,0.09,0.41,0.824991057,0.122681237,0.027816577,0.010342152,0.004936279,0.005010033,0.001802933
191,WB06,Isagi et al. 1997,"central Honshu, Japan",34.93,135.77,65,Total,mass,2.78,0.9,no,-999,0,evergreen,N,N,EBL forest / tempera,2,1007,1581,summer maximum,0.17,0.66,0.19,0.96,0.523291466,0.271349974,0.095298504,0.04175576,0.021713041,0.023739829,0.009177969
192,JCG,Jackson et al. 2002,"Colorado, USA",40.8,-104.8,-999,Total,mass,12.21,4.27,no,medium,0,-999,N,N,Grassland,10,1250,332,summer maximum,0.05,0.56,0.05,0.56,0.844167179,0.082347906,0.027330835,0.013200085,0.007648267,0.009713378,0.00456051
193,JCS,Jackson et al. 2002,"Colorado, USA",40.8,-104.8,-999,Total,mass,1.46,4.27,no,medium,0,-999,N,N,open shrubland,7,1250,332,summer maximum,0.7,4.04,0.66,2.94,0.086816129,0.18468969,0.181669229,0.140493681,0.100345609,0.140518616,0.064370815
194,JEG,Jackson et al. 2002,"Texas, USA",31.8,-95.6,-999,Total,mass,9.07,6.1,no,medium,0,-999,N,N,Grassland,10,1340,1100,"non-tropical,",0.13,0.64,0.13,0.64,0.689069696,0.1994992,0.055454145,0.022298484,0.011120377,0.011763428,0.004421576
195,JES,Jackson et al. 2002,"Texas, USA",31.8,-95.6,-999,Total,mass,4.35,6.1,no,medium,0,-999,N,N,open shrubland,7,1340,1100,"non-tropical,",0.17,2.48,0.17,2.62,0.5436276,0.171647538,0.080100134,0.045844592,0.029523979,0.041715809,0.021781498
196,JJG,Jackson et al. 2002,"New Mexico, USA",32.5,-106.8,-999,Total,mass,1.74,10.06,yes,medium,0,-999,N,N,Grassland,10,1420,264,summer maximum,0.1,1.13,0.1,1.13,0.698820303,0.144530364,0.054697951,0.027831409,0.016580464,0.021567431,0.010334114
197,JJS,Jackson et al. 2002,"New Mexico, USA",32.5,-106.8,-999,Total,mass,4.74,10.06,yes,medium,0,-999,N,N,open shrubland,9,1420,264,summer maximum,0.02,5.41,0.02,5.41,0.770408658,0.05809412,0.028207691,0.017585206,0.01233798,0.019727024,0.012072029
198,JRG,Jackson et al. 2002,"Texas, USA",31.5,-96.9,-999,Total,mass,5.32,10.06,no,fine,0,-999,N,N,Grassland,10,1360,920,"non-tropical,",0.18,0.93,0.18,0.93,0.547086567,0.260076942,0.089311921,0.039027303,0.020327773,0.022320828,0.008688638
199,JRS,Jackson et al. 2002,"Texas, USA",31.5,-96.9,-999,Total,mass,5.65,10.06,yes,fine,0,-999,N,N,open shrubland,7,1360,920,"non-tropical,",0.03,2.81,0.03,2.81,0.773897799,0.069009501,0.031774214,0.019064481,0.012981598,0.019987961,0.011705918
200,JSG,Jackson et al. 2002,"New Mexico, USA",34.1,-106.9,-999,Total,mass,1.65,9.14,yes,medium,0,-999,N,N,Grassland,10,1600,242,summer maximum,0.2,0.69,0.2,0.69,0.5,0.338629643,0.093008188,0.032658122,0.014386847,0.013079406,0.004064055
201,JSS,Jackson et al. 2002,"New Mexico, USA",34.1,-106.9,-999,Total,mass,0.41,9.14,yes,medium,0,-999,N,N,open shrubland,9,1600,242,summer maximum,0.42,2,0.42,1.99,0.197134188,0.279795292,0.185714039,0.109350973,0.06580736,0.079740016,0.032906478
202,JVG,Jackson et al. 2002,"Texas, USA",34.2,-99.3,-999,Total,mass,1.83,10.06,no,fine,0,-999,N,N,Grassland,10,1450,653,summer maximum,0.1,0.61,0.1,0.61,0.755589543,0.149688695,0.04342732,0.018556915,0.009744252,0.010978247,0.004459871
203,JVS,Jackson et al. 2002,"Texas, USA",34.2,-99.3,-999,Total,mass,0.97,10.06,no,fine,0,-999,N,N,open shrubland,7,1450,653,summer maximum,0.67,5.75,0.67,5.99,0.164514872,0.16877896,0.129693199,0.096322842,0.072106478,0.115701529,0.065937137
204,RG41,Jama et al. 1998,W Kenya,0.1,34.57,1430,Total,length,-999,3.95,no,fine,0,evergreen,N,N,Savanna,7,1339,1800,"non-tropical,",0.35,2.77,0.35,2.77,0.310769038,0.236603759,0.135537341,0.081434606,0.05237196,0.071373093,0.034698369
205,TG36,Joffre et al. 1987,"Andalucía, S Spain",37.68,-5.92,-999,Total,mass,0.72,0.6,no,medium,0,-999,N,N,Grassland,10,1454,720,winter maximum,0.07,0.42,0.08,0.65,0.783781334,0.121903815,0.038691988,0.017799327,0.009898056,0.011937032,0.005260385
206,TS25a,Johnsen 1962,"Arizona, USA",34.37,-109.38,2000,Total,mass,0.2,0.61,no,-999,0,-999,N,N,Grassland,10,1576,297,summer maximum,0.08,0.33,0.08,0.38,0.849606412,0.104801622,0.023872093,0.008992637,0.004342125,0.004470378,0.001637966
207,TS25b,Johnsen 1962,"Arizona, USA",34.37,-109.38,2000,Total,mass,0.32,0.61,no,-999,0,evergreen,N,N,Wooded grassland,7,1576,297,summer maximum,0.18,0.53,0.23,0.98,0.429495551,0.325259468,0.120450358,0.051161866,0.025546136,0.02639977,0.009480473
208,TS25c,Johnsen 1962,"Arizona, USA",34.37,-109.38,2000,Total,mass,0.74,0.61,no,-999,0,evergreen,N,N,Wooded grassland,7,1576,297,summer maximum,0.28,0.56,0.36,1.01,0.157402951,0.417216398,0.236609548,0.095904597,0.041499705,0.034630904,0.009303402
209,RG36a,Jonsson et al. 1988,Tanzania,-6.83,37.63,-999,Total,mass,0.08,0.8,no,medium,0,drought-deciduous,Y,N,Savanna,7,1275,870,"tropical, seas",0.29,0.72,0.39,1.33,0.167581279,0.347605459,0.222490054,0.111017718,0.056812427,0.056555269,0.018551291
210,RG36b,Jonsson et al. 1988,Tanzania,-6.83,37.63,-999,Total,mass,0.07,1,no,medium,0,evergreen,Y,N,Savanna,7,1275,870,"tropical, seas",0.35,0.91,0.5,1.7,0.099336761,0.269574976,0.239030261,0.148051721,0.085278871,0.092323342,0.032029361
211,D05,Jordan & Nobel 1984,"California, USA",33.63,-116.4,850,Total,length,-999,0.16,no,medium,0,-999,N,N,open shrubland,9,1585,150,winter maximum,0.09,0.14,0.09,0.19,0.95877273,0.038434516,0.002226376,0.00038401,0.000106664,6.04E-05,1.04E-05
212,AC03a,Kaletkina 1974,W Tajikistan,39.17,68.82,3373,Total,mass,-999,0.6,no,-999,-999,-999,N,N,alpine herbaceous,10,802,494,winter maximum,0.1,0.47,0.12,0.8,0.688438325,0.177861301,0.057697154,0.026002826,0.014110899,0.016435643,0.006918185
213,AC03b,Kaletkina 1974,W Tajikistan,39.17,68.82,3373,Total,mass,-999,0.8,no,-999,-999,-999,N,N,alpine herbaceous,10,802,494,winter maximum,0.05,0.47,0.05,0.71,0.823237509,0.08627167,0.030833129,0.015586435,0.009331358,0.012305566,0.00603094
214,TD10a,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,0.92,no,medium,6,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.14,0.68,0.16,1.07,0.585589486,0.21971705,0.080445586,0.037956121,0.021070006,0.024981173,0.010663565
215,TD10b,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,1.06,no,medium,3,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.16,0.87,0.22,1.59,0.46458747,0.244301936,0.107730046,0.055728507,0.032653299,0.040713372,0.018229256
216,TD10c,Kalisz et al. 1987,"Kentucky, USA",37.45,-83.13,-999,Total,length,-999,1.12,no,medium,2.5,winter-deciduous,N,N,DBL forest / tempera,4,971,1170,"non-tropical,",0.19,0.88,0.23,1.48,0.444963212,0.260866561,0.114190593,0.057748957,0.033107651,0.040121457,0.017345223
217,TG39,Kandeler et al. 1994,Austria,47.5,14.1,-999,Total,mass,0.31,1,no,medium,0,-999,Y,N,Pasture,10,744,1013,summer maximum,0.07,0.47,0.07,0.58,0.811815364,0.107050646,0.033328902,0.015265822,0.008481575,0.010235319,0.004519979
218,WB04,Karizumi 1978,"SW Honshu, Japan",32.17,130.47,440,Total,mass,6.74,2.4,yes,-999,3,evergreen,N,N,EBL forest / tempera,2,1317,2680,summer maximum,0.26,1.62,0.27,1.88,0.388091635,0.256729969,0.125752438,0.068053025,0.040757822,0.05159373,0.023296642
223,BF12a,Karpov 1983,"Valdai Hills, Russia",56.53,31.83,~250,Total,surface,-999,0.3,no,coarse,-999,evergreen,N,Y,ENL forest / boreal,1,606,640,summer maximum,0.04,0.18,0.04,0.22,0.941575077,0.040028137,0.00917871,0.003589257,0.001793359,0.001927746,0.000746147
224,BF12b,Karpov 1983,"Valdai Hills, Russia",56.53,31.83,~250,Total,surface,-999,0.3,yes,coarse,-999,evergreen,N,Y,ENL forest / boreal,1,606,640,summer maximum,0.07,0.2,0.08,0.23,0.927892229,0.060982521,0.007505943,0.001993213,0.000752573,0.000591318,0.000155647
225,RD09a,Kellman & Roulet 1990,"Veracruz, Mexico",19.5,-96.5,<10,2,mass,0.96,2,no,coarse,0,drought-deciduous,N,N,DBL forest / tropica,4,1438,1300,"tropical, seas",0.51,1.64,0.56,2.2,0.098352425,0.228146283,0.210550179,0.145939334,0.093918006,0.115950487,0.046451202
226,RD09b,Kellman & Roulet 1990,"Veracruz, Mexico",19.5,-96.5,-999,2,mass,0.66,1.4,no,coarse,0,drought-deciduous,N,N,DBL forest / tropica,4,1438,1300,"tropical, seas",0.16,1.08,0.2,1.93,0.5,0.211009483,0.095412867,0.051797634,0.031747895,0.041982984,0.020201573
227,RG19a,Kellman & Roulet 1990,"Veracruz, Mexico",19.5,-96.5,<10,2,mass,0.5,2,no,coarse,0,-999,Y,N,Pasture,10,1438,1300,"tropical, seas",0.46,1.69,0.54,2.4,0.1234005,0.23268682,0.195719796,0.132975895,0.086630826,0.111122795,0.047323294
228,RG19b,Kellman & Roulet 1990,"Veracruz, Mexico",19.5,-96.5,<10,2,mass,0.75,2,no,coarse,0,drought-deciduous,Y,N,Savanna,7,1438,1300,"tropical, seas",0.43,1.69,0.51,2.4,0.144353021,0.24219115,0.190087906,0.12516536,0.080667214,0.10357512,0.04468146
229,RG18a,Kellman & Sanmugadas 1985,Belize,17,-89,500,2,mass,0.49,0.6,no,medium,0,-999,N,N,Grassland,10,1366,500,"tropical, seas",0.07,0.34,0.07,0.43,0.845903863,0.098220284,0.026127928,0.010883294,0.005653081,0.006323363,0.002557377
230,RG18b,Kellman & Sanmugadas 1985,Belize,17,-89,-999,2,mass,0.61,0.6,no,medium,0,evergreen,N,N,Savanna,6,1366,500,"tropical, seas",0.09,0.42,0.09,0.62,0.771758898,0.135093349,0.040716855,0.017985107,0.009693218,0.011264545,0.004749916
231,RG18c,Kellman & Sanmugadas 1985,Belize,17,-89,-999,2,mass,0.69,0.6,no,medium,0,evergreen,N,N,Savanna,6,1366,500,"tropical, seas",0.11,0.36,0.11,0.42,0.788160063,0.156493409,0.031876873,0.010859198,0.004850146,0.00456234,0.00149602
232,TC22a,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,1.1,no,coarse,3,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.2,0.89,0.24,1.54,0.428299882,0.263624185,0.118285505,0.06047789,0.034865148,0.042429354,0.018397624
233,TC22b,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,1.1,no,coarse,2,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.21,0.84,0.23,1.32,0.441391595,0.276195255,0.116625748,0.0567452,0.031526276,0.036810852,0.015239339
234,TC22c,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,0.65,no,coarse,3,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.18,0.52,0.19,0.79,0.526471473,0.296731916,0.091775184,0.036241273,0.017454557,0.017526909,0.006136084
235,TC22d,Kern et al. 1961,SW Germany,47.73,8,950,2,length,-999,0.6,no,coarse,3,evergreen,N,N,ENL forest / tempera,1,771,1854,summer maximum,0.12,0.45,0.13,0.67,0.684286621,0.198408414,0.057008018,0.023429542,0.01186723,0.012771096,0.004897566
236,TU05a,Khodachek 1971,"Taimyr Peninsula, Russia",73.33,90.62,-999,Total,mass,3.47,0.5,no,-999,10,-999,N,Y,Tundra,10,332,338,summer maximum,0.11,0.4,0.11,0.4,0.796332056,0.15366755,0.02955221,0.009733165,0.004246213,0.003893079,0.001237646
237,TU05b,Khodachek 1971,"Taimyr Peninsula, Russia",73.33,90.62,-999,Total,mass,2.1,0.46,no,-999,6,-999,N,Y,Tundra,10,332,338,summer maximum,0.16,0.41,0.16,0.41,0.667797091,0.278402123,0.038064209,0.009279444,0.003234505,0.002314368,0.000538859
238,TU05c,Khodachek 1971,"Taimyr Peninsula, Russia",73.33,90.62,-999,Total,mass,1.43,0.48,no,-999,0,-999,N,Y,Tundra,10,332,338,summer maximum,0.13,0.37,0.13,0.37,0.770770316,0.188682414,0.027230044,0.007347836,0.002775379,0.002171708,0.000567189
239,BF10,Kimmins & Hawkes 1978,"British Columbia, Canada",54.67,-122.23,-999,6.4,mass,0.68,0.93,no,coarse,8.3,evergreen,N,N,ENL forest / boreal,1,605,813,"non-tropical,",0.13,0.39,0.13,0.41,0.751062712,0.195843119,0.033648999,0.010048668,0.004071447,0.003435231,0.000984974
240,D36,Klepper et al. 1985,"S Washington, USA",46.53,-119.52,-999,Total,mass,0.08,2.5,no,-999,0,-999,N,N,open shrubland,9,840,160,winter maximum,0.42,1.27,0.42,1.3,0.126364721,0.341891209,0.248717059,0.125825057,0.062772208,0.059449054,0.018141308
241,RE04a,Klinge 1973,"Central Amazonia, Brazil",-2.77,-59.82,-999,Total,mass,3.97,1.3,no,medium,6,evergreen,N,N,EBL forest / tropica,2,1089,2070,"tropical, seas",0.22,1.03,0.27,1.77,0.384630074,0.264558768,0.12818093,0.068281522,0.040328554,0.050170641,0.022192503
242,RE04b,Klinge 1973,"Central Amazonia, Brazil",-2.77,-59.82,-999,Total,mass,2.81,0.89,no,coarse,11.5,evergreen,N,N,EBL forest / tropica,2,1089,2070,"tropical, seas",0.09,0.13,0.09,0.13,0.998330863,0.001662639,6.25E-06,2.28E-07,2.10E-08,4.07E-09,1.48E-10
243,RE04c,Klinge 1975,"Central Amazonia, Brazil",-2.77,-59.82,-999,Total,mass,3.1,0.9,no,coarse,12,evergreen,N,N,EBL forest / tropica,2,1089,2070,"tropical, seas",0.16,0.3,0.16,0.3,0.739854843,0.246651449,0.011450447,0.001511444,0.000344757,0.000159056,2.07E-05
244,RE04d,Klinge 1975,"Central Amazonia, Brazil",-2.77,-59.82,-999,Total,mass,2.81,0.89,no,coarse,10.5,evergreen,N,N,EBL forest / tropica,2,1089,2070,"tropical, seas",0.07,0.17,0.07,0.17,0.970221398,0.026711275,0.002266748,0.000492246,0.00016127,0.000108762,2.36E-05
245,RG02a,Knoop & Walker 1985,"N Province, South Africa",-24.65,28.75,1100,Total,number,-999,1.2,no,coarse,0,drought-deciduous,N,N,Savanna,7,1256,630,"tropical, seas",0.28,0.92,0.3,1.31,0.30790149,0.331937997,0.159891832,0.07672407,0.040754694,0.044183994,0.016501955
246,RG02b,Knoop & Walker 1985,"N Province, South Africa",-24.65,28.75,1100,Total,number,-999,1,no,coarse,0,drought-deciduous,N,N,Savanna,7,1256,630,"tropical, seas",0.38,0.91,0.54,1.71,0.073292149,0.243924208,0.249664251,0.164963083,0.09650938,0.103132039,0.034442144
247,TD04a,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,457-106,Total,number,-999,1.5,no,medium,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.25,0.89,0.25,1.05,0.387499747,0.336487887,0.13370305,0.058100708,0.029233232,0.030282497,0.010856055
248,TD04b,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,-999,Total,number,-999,1.8,no,medium,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.28,1.27,0.3,1.72,0.33544614,0.283496009,0.143970542,0.076488008,0.044512223,0.0539157,0.022957952
249,TD04c,Kochenderfer 1973,"West Virginia, USA",39.12,-79.57,-999,Total,number,-999,2.1,no,medium,0,winter-deciduous,N,N,DBL forest / tempera,4,909,1300,"non-tropical,",0.27,1.22,0.27,1.4,0.368908426,0.29998255,0.137787633,0.06803007,0.037624726,0.043214061,0.017399765
250,SC14,Kosmas et al. 1996,Greece,37.97,23.92,140,Total,mass,0.45,0.8,no,medium,0,evergreen,Y,N,Wooded grassland,6,1529,496,winter maximum,0.07,0.57,0.08,0.96,0.74757808,0.123110971,0.045180943,0.022811419,0.013566459,0.017669059,0.008502179
251,TD20,Kreutzer 1968,S Germany,48.07,9.95,607,Total,mass,-999,0.9,no,medium,-999,winter-deciduous,N,N,DBL forest / tempera,4,704,830,summer maximum,0.34,0.82,0.49,1.55,0.091860766,0.281253288,0.253522727,0.151244645,0.083151729,0.084830541,0.027439216
252,D22,Kudrjasheva 1974,S Tajikistan,37.57,68.42,300-500,Total,mass,-999,0.6,no,-999,0,-999,N,N,Grassland,10,996,158,winter maximum,0.04,0.17,0.04,0.18,0.958935816,0.030159683,0.00594445,0.002129763,0.000999864,0.001001975,0.000356563
253,D31,Kul'tiasov 1925,"Turkistan, S Kazakhstan",41.18,68.33,-999,Total,mass,1.52,0.75,no,medium,0,-999,N,N,Grassland,10,1179,230,winter maximum,0.01,0.13,0.01,0.14,0.965854341,0.018093522,0.005781207,0.002798869,0.001637174,0.002115355,0.001018459
254,SC04,Kummerow & Mangan 1981,"California, USA",32.78,-116.53,1400,Total,mass,1.34,1,no,medium,0,-999,N,N,Closed shrubland,8,1276,460,winter maximum,0.4,0.83,0.42,1.05,0.084388631,0.37649559,0.297922382,0.129205279,0.053992759,0.04154108,0.009860566
255,SC05,Kummerow et al. 1990,"Montpelier, France",43.7,3.85,-999,Total,mass,8.94,1,no,medium,0,-999,N,N,Closed shrubland,8,1222,900,"non-tropical,",0.15,0.72,0.17,1.07,0.564666451,0.232641354,0.085420803,0.039926563,0.021942549,0.025663491,0.010765508
256,AC02a,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,8.7,1,no,-999,-999,-999,N,Y,alpine herbaceous,10,401,130,winter maximum,0.13,0.61,0.13,0.78,0.669939921,0.193831576,0.061296263,0.026871513,0.014254902,0.016152841,0.006576502
257,AC02b,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,9.74,1,no,-999,-999,-999,N,Y,alpine herbaceous,10,401,250,winter maximum,0.11,0.51,0.12,0.6,0.717996267,0.182490186,0.049513153,0.019844022,0.009903041,0.010504045,0.003966511
258,AC02c,Ladygina & Litvinova 1974,"Pamirs, Tajikistan",38.15,73.95,~4000,Total,mass,6.3,1,no,-999,-999,-999,N,Y,alpine herbaceous,10,401,190,winter maximum,0.07,0.48,0.08,0.58,0.796070672,0.120157064,0.036111814,0.016058106,0.008716333,0.010228101,0.00436746
